('002241', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601938', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600856', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000790', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601938', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002241', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601960', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002241', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000790', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600855', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002798', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601960', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000790', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600854', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002798', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601960', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000791', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600854', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002799', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601960', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000791', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300067', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600854', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002799', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601961', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000791', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300067', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600853', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002799', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601961', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600853', 2, <type 'exceptions.Exception'>, ':', HTTPError())
